Date,Home Team,Away Team,Home Score,Away Score
2025-04-02T18:10:00Z,Chicago White Sox,Minnesota Twins,1,6
2025-04-02T19:07:00Z,Toronto Blue Jays,Washington Nationals,4,2
2025-04-02T19:35:00Z,Athletics,Chicago Cubs,2,10
2025-04-02T20:10:00Z,San Diego Padres,Cleveland Guardians,5,2
2025-04-02T20:10:00Z,Seattle Mariners,Detroit Tigers,3,2
2025-04-02T20:10:00Z,Houston Astros,San Francisco Giants,3,6
2025-04-02T20:40:00Z,Miami Marlins,New York Mets,5,6
2025-04-02T22:35:00Z,Baltimore Orioles,Boston Red Sox,0,3
2025-04-02T22:45:00Z,Philadelphia Phillies,Colorado Rockies,5,1
2025-04-02T23:05:00Z,New York Yankees,Arizona Diamondbacks,3,4
2025-04-03T00:38:00Z,Los Angeles Dodgers,Atlanta Braves,6,5
2025-04-03T17:05:00Z,Baltimore Orioles,Boston Red Sox,4,8
2025-04-03T17:05:00Z,Philadelphia Phillies,Colorado Rockies,3,1
2025-04-03T20:10:00Z,Minnesota Twins,Houston Astros,2,5
2025-04-03T23:05:00Z,New York Yankees,Arizona Diamondbacks,9,7
2025-04-03T23:40:00Z,Milwaukee Brewers,Cincinnati Reds,1,0
2025-04-04T17:10:00Z,Detroit Tigers,Chicago White Sox,7,4
2025-04-04T18:10:00Z,Boston Red Sox,St. Louis Cardinals,13,9
2025-04-04T18:20:00Z,Chicago Cubs,San Diego Padres,3,1
2025-04-04T19:10:00Z,New York Mets,Toronto Blue Jays,5,0
2025-04-04T20:10:00Z,Colorado Rockies,Athletics,3,6
2025-04-04T20:12:00Z,Pittsburgh Pirates,New York Yankees,4,9
2025-04-04T20:35:00Z,San Francisco Giants,Seattle Mariners,10,9
2025-04-04T22:45:00Z,Washington Nationals,Arizona Diamondbacks,4,6
2025-04-04T22:45:00Z,Philadelphia Phillies,Los Angeles Dodgers,3,2
2025-04-04T23:15:00Z,Atlanta Braves,Miami Marlins,10,0
2025-04-04T23:40:00Z,Kansas City Royals,Baltimore Orioles,8,2
2025-04-05T00:05:00Z,Texas Rangers,Tampa Bay Rays,5,2
2025-04-05T00:10:00Z,Milwaukee Brewers,Cincinnati Reds,3,2
2025-04-05T01:38:00Z,Los Angeles Angels,Cleveland Guardians,6,8
2025-04-05T17:10:00Z,Detroit Tigers,Chicago White Sox,7,2
2025-04-05T18:10:00Z,Minnesota Twins,Houston Astros,6,1
2025-04-05T18:20:00Z,Chicago Cubs,San Diego Padres,7,1
2025-04-05T20:05:00Z,Washington Nationals,Arizona Diamondbacks,4,3
2025-04-05T20:05:00Z,Philadelphia Phillies,Los Angeles Dodgers,1,3
