Date,Home Team,Away Team,Home Score,Away Score
2025-04-24T22:45:00Z,Washington Nationals,Baltimore Orioles,1,2
2025-04-25T01:29:00Z,Los Angeles Angels,Pittsburgh Pirates,4,3
2025-04-25T01:40:00Z,Arizona Diamondbacks,Tampa Bay Rays,4,7
2025-04-25T02:05:00Z,Athletics,Texas Rangers,4,3
2025-04-25T18:20:00Z,Chicago Cubs,Philadelphia Phillies,4,0
2025-04-25T22:45:00Z,Washington Nationals,New York Mets,5,4
2025-04-25T23:05:00Z,New York Yankees,Toronto Blue Jays,2,4
2025-04-25T23:40:00Z,Kansas City Royals,Houston Astros,2,0
2025-04-25T23:40:00Z,Minnesota Twins,Los Angeles Angels,11,4
2025-04-26T00:15:00Z,St. Louis Cardinals,Milwaukee Brewers,3,2
2025-04-26T00:40:00Z,Colorado Rockies,Cincinnati Reds,7,8
2025-04-26T01:40:00Z,San Diego Padres,Tampa Bay Rays,0,1
2025-04-26T01:40:00Z,Arizona Diamondbacks,Atlanta Braves,2,8
2025-04-26T01:40:00Z,Seattle Mariners,Miami Marlins,4,8
2025-04-26T02:05:00Z,Athletics,Chicago White Sox,6,5
2025-04-26T02:10:00Z,Los Angeles Dodgers,Pittsburgh Pirates,0,3
2025-04-26T02:15:00Z,San Francisco Giants,Texas Rangers,0,2
2025-04-26T17:10:00Z,Cleveland Guardians,Boston Red Sox,5,4
2025-04-26T22:10:00Z,Cleveland Guardians,Boston Red Sox,3,7
2025-04-26T17:10:00Z,Detroit Tigers,Baltimore Orioles,4,3
2025-04-26T22:10:00Z,Detroit Tigers,Baltimore Orioles,6,2
2025-04-26T18:10:00Z,Minnesota Twins,Los Angeles Angels,5,1
2025-04-26T18:15:00Z,St. Louis Cardinals,Milwaukee Brewers,6,5
2025-04-26T19:10:00Z,Colorado Rockies,Cincinnati Reds,4,6
2025-04-26T20:05:00Z,Washington Nationals,New York Mets,0,2
2025-04-26T20:05:00Z,San Francisco Giants,Texas Rangers,3,2
2025-04-26T20:05:00Z,Chicago Cubs,Philadelphia Phillies,4,10
2025-04-26T20:05:00Z,Athletics,Chicago White Sox,3,10
2025-04-26T23:10:00Z,Kansas City Royals,Houston Astros,2,0
2025-04-27T00:10:00Z,Arizona Diamondbacks,Atlanta Braves,7,8
2025-04-27T00:40:00Z,San Diego Padres,Tampa Bay Rays,1,4
2025-04-27T01:10:00Z,Los Angeles Dodgers,Pittsburgh Pirates,8,4
2025-04-27T01:40:00Z,Seattle Mariners,Miami Marlins,14,0
2025-04-27T17:35:00Z,Washington Nationals,New York Mets,8,7
2025-04-27T17:35:00Z,New York Yankees,Toronto Blue Jays,11,2
2025-04-27T17:40:00Z,New York Yankees,Toronto Blue Jays,5,1
2025-04-27T17:40:00Z,Cleveland Guardians,Boston Red Sox,3,13
2025-04-27T17:40:00Z,Detroit Tigers,Baltimore Orioles,7,0
2025-04-27T17:40:00Z,Minnesota Twins,Los Angeles Angels,5,0
2025-04-27T18:10:00Z,Kansas City Royals,Houston Astros,3,7
2025-04-27T18:15:00Z,St. Louis Cardinals,Milwaukee Brewers,1,7
2025-04-27T19:10:00Z,Colorado Rockies,Cincinnati Reds,1,8
2025-04-27T20:05:00Z,San Francisco Giants,Texas Rangers,3,2
2025-04-27T20:05:00Z,Athletics,Chicago White Sox,3,2
2025-04-27T20:10:00Z,Los Angeles Dodgers,Pittsburgh Pirates,9,2
2025-04-27T20:10:00Z,San Diego Padres,Tampa Bay Rays,2,4
2025-04-27T20:10:00Z,Arizona Diamondbacks,Atlanta Braves,6,4
2025-04-27T20:10:00Z,Seattle Mariners,Miami Marlins,7,6
2025-04-27T23:10:00Z,Chicago Cubs,Philadelphia Phillies,1,3
2025-04-28T20:05:00Z,Washington Nationals,New York Mets,5,19
2025-04-28T22:10:00Z,Cleveland Guardians,Minnesota Twins,1,11
2025-04-28T22:35:00Z,Baltimore Orioles,New York Yankees,4,3
2025-04-28T22:40:00Z,Cincinnati Reds,St. Louis Cardinals,3,1
2025-04-29T00:05:00Z,Texas Rangers,Athletics,1,2
2025-04-29T00:10:00Z,Houston Astros,Detroit Tigers,8,5
2025-04-29T00:40:00Z,Colorado Rockies,Atlanta Braves,3,6
2025-04-29T02:10:00Z,Los Angeles Dodgers,Miami Marlins,7,6
2025-04-29T22:10:00Z,Cleveland Guardians,Minnesota Twins,2,1
2025-04-29T22:35:00Z,Baltimore Orioles,New York Yankees,3,15
2025-04-29T22:40:00Z,Pittsburgh Pirates,Chicago Cubs,0,9
2025-04-29T22:45:00Z,Philadelphia Phillies,Washington Nationals,7,6
2025-04-29T23:05:00Z,Tampa Bay Rays,Kansas City Royals,1,3
2025-04-29T23:07:00Z,Toronto Blue Jays,Boston Red Sox,2,10
2025-04-29T23:10:00Z,New York Mets,Arizona Diamondbacks,8,3
2025-04-29T23:40:00Z,Chicago White Sox,Milwaukee Brewers,2,7
2025-04-30T00:05:00Z,Texas Rangers,Athletics,15,2
2025-04-30T00:10:00Z,Houston Astros,Detroit Tigers,6,4
2025-04-30T00:40:00Z,Colorado Rockies,Atlanta Braves,2,8
2025-04-30T01:40:00Z,Seattle Mariners,Los Angeles Angels,5,3
2025-04-30T01:40:00Z,San Diego Padres,San Francisco Giants,7,4
2025-04-30T02:10:00Z,Los Angeles Dodgers,Miami Marlins,15,2
2025-04-30T16:40:00Z,Cincinnati Reds,St. Louis Cardinals,0,6
2025-04-30T22:40:00Z,Cincinnati Reds,St. Louis Cardinals,1,9
2025-04-30T18:10:00Z,Houston Astros,Detroit Tigers,4,7
2025-04-30T19:10:00Z,Colorado Rockies,Atlanta Braves,2,1
2025-04-30T19:10:00Z,Los Angeles Dodgers,Miami Marlins,12,7
2025-04-30T20:10:00Z,Seattle Mariners,Los Angeles Angels,9,3
2025-04-30T20:10:00Z,San Diego Padres,San Francisco Giants,5,3
2025-04-30T22:10:00Z,Cleveland Guardians,Minnesota Twins,4,2
2025-04-30T22:35:00Z,Baltimore Orioles,New York Yankees,5,4
2025-04-30T22:40:00Z,Pittsburgh Pirates,Chicago Cubs,4,3
2025-04-30T22:45:00Z,Philadelphia Phillies,Washington Nationals,7,2
2025-04-30T23:05:00Z,Tampa Bay Rays,Kansas City Royals,0,3
2025-04-30T23:07:00Z,Toronto Blue Jays,Boston Red Sox,7,6
2025-04-30T23:10:00Z,New York Mets,Arizona Diamondbacks,3,4
2025-04-30T23:40:00Z,Chicago White Sox,Milwaukee Brewers,4,6
2025-05-01T00:05:00Z,Texas Rangers,Athletics,1,7
2025-05-01T16:35:00Z,Pittsburgh Pirates,Chicago Cubs,3,8
2025-05-01T16:40:00Z,Cincinnati Reds,St. Louis Cardinals,9,1
2025-05-01T17:10:00Z,New York Mets,Arizona Diamondbacks,2,4
2025-05-01T17:10:00Z,Tampa Bay Rays,Kansas City Royals,2,8
2025-05-01T17:10:00Z,Cleveland Guardians,Minnesota Twins,4,3
2025-05-01T18:10:00Z,Chicago White Sox,Milwaukee Brewers,8,0
2025-05-01T18:35:00Z,Texas Rangers,Athletics,0,3
2025-05-01T22:45:00Z,Philadelphia Phillies,Washington Nationals,2,4
2025-05-01T23:07:00Z,Toronto Blue Jays,Boston Red Sox,4,2
2025-05-02T01:38:00Z,Los Angeles Angels,Detroit Tigers,4,10
2025-05-02T01:45:00Z,San Francisco Giants,Colorado Rockies,3,4
2025-05-02T22:10:00Z,Cincinnati Reds,Washington Nationals,6,1
2025-05-02T22:40:00Z,Pittsburgh Pirates,San Diego Padres,4,9
2025-05-02T22:45:00Z,Philadelphia Phillies,Arizona Diamondbacks,3,2
2025-05-02T23:05:00Z,Baltimore Orioles,Kansas City Royals,3,0
2025-05-02T23:05:00Z,New York Yankees,Tampa Bay Rays,3,0
2025-05-02T23:07:00Z,Toronto Blue Jays,Cleveland Guardians,5,3
2025-05-02T23:10:00Z,Boston Red Sox,Minnesota Twins,6,1
2025-05-02T23:10:00Z,Miami Marlins,Athletics,1,6
2025-05-02T23:15:00Z,Atlanta Braves,Los Angeles Dodgers,1,2
2025-05-02T23:40:00Z,Chicago White Sox,Houston Astros,7,3
2025-05-03T00:05:00Z,Texas Rangers,Seattle Mariners,1,13
2025-05-03T00:10:00Z,Milwaukee Brewers,Chicago Cubs,0,10
2025-05-03T00:15:00Z,St. Louis Cardinals,New York Mets,3,9
2025-05-03T01:38:00Z,Los Angeles Angels,Detroit Tigers,1,9
2025-05-03T02:15:00Z,San Francisco Giants,Colorado Rockies,4,0
2025-05-03T17:05:00Z,New York Yankees,Tampa Bay Rays,2,3
2025-05-03T18:10:00Z,Chicago White Sox,Houston Astros,3,8
2025-05-03T19:07:00Z,Toronto Blue Jays,Cleveland Guardians,3,5
2025-05-03T20:05:00Z,Pittsburgh Pirates,San Diego Padres,1,2
2025-05-03T20:05:00Z,San Francisco Giants,Colorado Rockies,6,3
2025-05-03T20:10:00Z,Boston Red Sox,Minnesota Twins,3,4
2025-05-03T20:10:00Z,Miami Marlins,Athletics,9,6
2025-05-03T22:05:00Z,Philadelphia Phillies,Arizona Diamondbacks,7,2
2025-05-03T22:40:00Z,Cincinnati Reds,Washington Nationals,6,11
2025-05-03T23:05:00Z,Texas Rangers,Seattle Mariners,1,2
2025-05-03T23:10:00Z,Milwaukee Brewers,Chicago Cubs,2,6
2025-05-03T23:15:00Z,Baltimore Orioles,Kansas City Royals,0,4
2025-05-03T23:15:00Z,Atlanta Braves,Los Angeles Dodgers,3,10
2025-05-04T01:38:00Z,Los Angeles Angels,Detroit Tigers,5,2
2025-05-04T17:15:00Z,St. Louis Cardinals,New York Mets,6,5
2025-05-04T22:15:00Z,St. Louis Cardinals,New York Mets,5,4
2025-05-04T17:35:00Z,Baltimore Orioles,Kansas City Royals,6,11
2025-05-04T17:35:00Z,Pittsburgh Pirates,San Diego Padres,0,4
2025-05-04T17:35:00Z,Boston Red Sox,Minnesota Twins,4,5
2025-05-04T17:35:00Z,New York Yankees,Tampa Bay Rays,5,7
2025-05-04T17:37:00Z,Toronto Blue Jays,Cleveland Guardians,4,5
2025-05-04T17:40:00Z,Miami Marlins,Athletics,2,3
2025-05-04T18:05:00Z,Philadelphia Phillies,Arizona Diamondbacks,9,11
2025-05-04T18:10:00Z,Milwaukee Brewers,Chicago Cubs,4,0
2025-05-04T18:35:00Z,Texas Rangers,Seattle Mariners,8,1
2025-05-04T20:05:00Z,San Francisco Giants,Colorado Rockies,9,3
2025-05-04T20:07:00Z,Los Angeles Angels,Detroit Tigers,1,13
2025-05-04T20:10:00Z,Cincinnati Reds,Washington Nationals,1,4
2025-05-04T23:10:00Z,Atlanta Braves,Los Angeles Dodgers,4,3
2025-05-05T22:40:00Z,Miami Marlins,Los Angeles Dodgers,4,7
2025-05-05T23:05:00Z,New York Yankees,San Diego Padres,3,4
2025-05-05T23:15:00Z,Atlanta Braves,Cincinnati Reds,4,0
2025-05-05T23:40:00Z,Chicago Cubs,San Francisco Giants,9,2
2025-05-05T23:40:00Z,Kansas City Royals,Chicago White Sox,3,0
2025-05-05T23:40:00Z,Milwaukee Brewers,Houston Astros,5,1
2025-05-05T23:45:00Z,St. Louis Cardinals,Pittsburgh Pirates,6,3
2025-05-06T01:40:00Z,Arizona Diamondbacks,New York Mets,4,5
2025-05-06T02:05:00Z,Athletics,Seattle Mariners,7,6
2025-05-06T19:35:00Z,Washington Nationals,Cleveland Guardians,10,9
2025-05-06T19:40:00Z,Washington Nationals,Cleveland Guardians,1,9
2025-05-06T22:40:00Z,Miami Marlins,Los Angeles Dodgers,5,4
2025-05-06T22:45:00Z,Boston Red Sox,Texas Rangers,1,6
2025-05-06T23:05:00Z,Tampa Bay Rays,Philadelphia Phillies,4,8
2025-05-06T23:05:00Z,New York Yankees,San Diego Padres,12,3
2025-05-06T23:15:00Z,Atlanta Braves,Cincinnati Reds,2,1
2025-05-06T23:40:00Z,Chicago Cubs,San Francisco Giants,5,14
2025-05-06T23:40:00Z,Minnesota Twins,Baltimore Orioles,9,1
2025-05-06T23:40:00Z,Kansas City Royals,Chicago White Sox,4,3
2025-05-06T23:40:00Z,Milwaukee Brewers,Houston Astros,4,3
2025-05-06T23:45:00Z,St. Louis Cardinals,Pittsburgh Pirates,2,1
2025-05-07T01:38:00Z,Los Angeles Angels,Toronto Blue Jays,8,3
2025-05-07T01:40:00Z,Arizona Diamondbacks,New York Mets,5,1
2025-05-07T02:05:00Z,Athletics,Seattle Mariners,3,5
2025-05-07T16:05:00Z,Washington Nationals,Cleveland Guardians,6,8
2025-05-07T17:10:00Z,Milwaukee Brewers,Houston Astros,1,9
2025-05-07T17:15:00Z,St. Louis Cardinals,Pittsburgh Pirates,5,0
2025-05-07T18:20:00Z,Chicago Cubs,San Francisco Giants,1,3
2025-05-07T19:35:00Z,Athletics,Seattle Mariners,5,6
2025-05-07T19:40:00Z,Arizona Diamondbacks,New York Mets,1,7
2025-05-07T20:40:00Z,Miami Marlins,Los Angeles Dodgers,1,10
2025-05-07T22:45:00Z,Boston Red Sox,Texas Rangers,6,4
2025-05-07T23:05:00Z,Tampa Bay Rays,Philadelphia Phillies,0,7
2025-05-07T23:05:00Z,New York Yankees,San Diego Padres,4,3
2025-05-07T23:15:00Z,Atlanta Braves,Cincinnati Reds,3,4
2025-05-07T23:40:00Z,Minnesota Twins,Baltimore Orioles,5,2
2025-05-07T23:40:00Z,Kansas City Royals,Chicago White Sox,2,1
2025-05-08T00:40:00Z,Colorado Rockies,Detroit Tigers,6,8
2025-05-08T01:38:00Z,Los Angeles Angels,Toronto Blue Jays,5,4
2025-05-08T17:10:00Z,Minnesota Twins,Baltimore Orioles,5,2
2025-05-08T17:35:00Z,Boston Red Sox,Texas Rangers,5,0
2025-05-08T18:10:00Z,Kansas City Royals,Chicago White Sox,10,0
2025-05-08T19:10:00Z,Colorado Rockies,Detroit Tigers,2,10
2025-05-08T19:15:00Z,Colorado Rockies,Detroit Tigers,1,11
2025-05-08T23:05:00Z,Tampa Bay Rays,Philadelphia Phillies,6,7
2025-05-08T23:15:00Z,Atlanta Braves,Cincinnati Reds,5,4
2025-05-09T01:38:00Z,Los Angeles Angels,Toronto Blue Jays,5,8
2025-05-09T01:40:00Z,Arizona Diamondbacks,Los Angeles Dodgers,5,3
2025-05-09T22:40:00Z,Detroit Tigers,Texas Rangers,2,1
2025-05-09T22:40:00Z,Pittsburgh Pirates,Atlanta Braves,3,2
2025-05-09T22:45:00Z,Washington Nationals,St. Louis Cardinals,0,10
2025-05-09T23:05:00Z,Tampa Bay Rays,Milwaukee Brewers,4,3
2025-05-09T23:10:00Z,New York Mets,Chicago Cubs,7,2
2025-05-09T23:10:00Z,Cleveland Guardians,Philadelphia Phillies,6,0
2025-05-09T23:40:00Z,Kansas City Royals,Boston Red Sox,2,1
2025-05-09T23:40:00Z,Chicago White Sox,Miami Marlins,6,2
2025-05-10T00:10:00Z,Houston Astros,Cincinnati Reds,3,0
2025-05-10T00:10:00Z,Minnesota Twins,San Francisco Giants,3,1
2025-05-10T00:40:00Z,Colorado Rockies,San Diego Padres,9,13
2025-05-10T01:38:00Z,Los Angeles Angels,Baltimore Orioles,1,4
2025-05-10T01:40:00Z,Arizona Diamondbacks,Los Angeles Dodgers,11,14
2025-05-10T01:40:00Z,Seattle Mariners,Toronto Blue Jays,3,6
2025-05-10T02:05:00Z,Athletics,New York Yankees,2,10
2025-05-10T20:05:00Z,Washington Nationals,St. Louis Cardinals,2,4
2025-05-10T20:05:00Z,Pittsburgh Pirates,Atlanta Braves,2,3
2025-05-10T20:05:00Z,Athletics,New York Yankees,11,7
2025-05-10T20:10:00Z,Tampa Bay Rays,Milwaukee Brewers,3,2
2025-05-10T22:10:00Z,Detroit Tigers,Texas Rangers,3,10
2025-05-10T22:10:00Z,Cleveland Guardians,Philadelphia Phillies,1,7
2025-05-10T23:10:00Z,Houston Astros,Cincinnati Reds,9,13
2025-05-10T23:10:00Z,Kansas City Royals,Boston Red Sox,1,10
2025-05-10T23:10:00Z,Chicago White Sox,Miami Marlins,1,3
2025-05-10T23:15:00Z,New York Mets,Chicago Cubs,5,6
2025-05-10T23:15:00Z,Minnesota Twins,San Francisco Giants,2,1
2025-05-11T00:10:00Z,Arizona Diamondbacks,Los Angeles Dodgers,3,0
2025-05-11T00:10:00Z,Colorado Rockies,San Diego Padres,0,21
2025-05-11T01:38:00Z,Los Angeles Angels,Baltimore Orioles,5,2
2025-05-11T01:40:00Z,Seattle Mariners,Toronto Blue Jays,3,6
2025-05-11T16:05:00Z,New York Mets,Chicago Cubs,6,2
2025-05-11T17:35:00Z,Washington Nationals,St. Louis Cardinals,1,6
2025-05-11T17:35:00Z,Pittsburgh Pirates,Atlanta Braves,4,3
2025-05-11T17:40:00Z,Detroit Tigers,Texas Rangers,1,6
2025-05-11T17:40:00Z,Tampa Bay Rays,Milwaukee Brewers,2,4
2025-05-11T18:10:00Z,Houston Astros,Cincinnati Reds,6,0
2025-05-11T18:10:00Z,Kansas City Royals,Boston Red Sox,1,3
2025-05-11T18:10:00Z,Minnesota Twins,San Francisco Giants,7,6
2025-05-11T18:10:00Z,Chicago White Sox,Miami Marlins,4,2
2025-05-11T19:10:00Z,Colorado Rockies,San Diego Padres,9,3
2025-05-11T20:05:00Z,Athletics,New York Yankees,2,12
2025-05-11T20:07:00Z,Los Angeles Angels,Baltimore Orioles,3,7
2025-05-11T20:10:00Z,Arizona Diamondbacks,Los Angeles Dodgers,1,8
2025-05-11T20:10:00Z,Seattle Mariners,Toronto Blue Jays,1,9
2025-05-11T23:10:00Z,Cleveland Guardians,Philadelphia Phillies,0,3
2025-05-12T22:10:00Z,Cleveland Guardians,Milwaukee Brewers,5,0
2025-05-12T22:40:00Z,Detroit Tigers,Boston Red Sox,14,2
2025-05-12T22:45:00Z,Philadelphia Phillies,St. Louis Cardinals,2,3
2025-05-12T23:10:00Z,New York Mets,Pittsburgh Pirates,4,3
2025-05-12T23:15:00Z,Atlanta Braves,Washington Nationals,4,3
2025-05-12T23:40:00Z,Chicago Cubs,Miami Marlins,5,2
2025-05-13T00:05:00Z,Texas Rangers,Colorado Rockies,2,1
2025-05-13T00:10:00Z,Houston Astros,Kansas City Royals,5,7
2025-05-13T01:40:00Z,San Diego Padres,Los Angeles Angels,5,9
2025-05-13T01:40:00Z,Seattle Mariners,New York Yankees,5,11
2025-05-13T01:45:00Z,San Francisco Giants,Arizona Diamondbacks,1,2
2025-05-13T22:10:00Z,Cleveland Guardians,Milwaukee Brewers,2,0
2025-05-13T22:40:00Z,Detroit Tigers,Boston Red Sox,10,9
2025-05-13T22:40:00Z,Cincinnati Reds,Chicago White Sox,1,5
2025-05-13T23:07:00Z,Toronto Blue Jays,Tampa Bay Rays,9,11
2025-05-13T23:10:00Z,New York Mets,Pittsburgh Pirates,2,1
2025-05-13T23:15:00Z,Atlanta Braves,Washington Nationals,5,2
2025-05-13T23:40:00Z,Chicago Cubs,Miami Marlins,5,4
2025-05-14T00:05:00Z,Texas Rangers,Colorado Rockies,4,1
2025-05-14T00:10:00Z,Houston Astros,Kansas City Royals,2,1
2025-05-14T01:40:00Z,San Diego Padres,Los Angeles Angels,6,4
2025-05-14T01:40:00Z,Seattle Mariners,New York Yankees,2,1
2025-05-14T01:45:00Z,San Francisco Giants,Arizona Diamondbacks,10,6
2025-05-14T02:10:00Z,Los Angeles Dodgers,Athletics,1,11
2025-05-14T16:05:00Z,Baltimore Orioles,Minnesota Twins,3,6
2025-05-14T16:10:00Z,Baltimore Orioles,Minnesota Twins,6,8
2025-05-14T17:05:00Z,Philadelphia Phillies,St. Louis Cardinals,2,1
2025-05-14T22:15:00Z,Philadelphia Phillies,St. Louis Cardinals,7,14
2025-05-14T17:10:00Z,Cleveland Guardians,Milwaukee Brewers,5,9
2025-05-14T19:45:00Z,San Francisco Giants,Arizona Diamondbacks,7,8
2025-05-14T20:10:00Z,Seattle Mariners,New York Yankees,2,3
2025-05-14T22:40:00Z,Detroit Tigers,Boston Red Sox,6,5
2025-05-14T23:07:00Z,Toronto Blue Jays,Tampa Bay Rays,3,1
2025-05-14T23:10:00Z,New York Mets,Pittsburgh Pirates,0,4
2025-05-14T23:14:00Z,Cincinnati Reds,Chicago White Sox,2,4
2025-05-14T23:15:00Z,Atlanta Braves,Washington Nationals,4,5
2025-05-14T23:40:00Z,Chicago Cubs,Miami Marlins,1,3
2025-05-15T00:05:00Z,Texas Rangers,Colorado Rockies,8,3
2025-05-15T00:10:00Z,Houston Astros,Kansas City Royals,4,3
2025-05-15T01:40:00Z,San Diego Padres,Los Angeles Angels,5,1
2025-05-15T02:10:00Z,Los Angeles Dodgers,Athletics,9,3
2025-05-15T16:15:00Z,Atlanta Braves,Washington Nationals,5,2
2025-05-15T16:35:00Z,Baltimore Orioles,Minnesota Twins,0,4
2025-05-15T16:40:00Z,Cincinnati Reds,Chicago White Sox,7,1
2025-05-15T19:07:00Z,Toronto Blue Jays,Tampa Bay Rays,3,8
2025-05-16T00:05:00Z,Texas Rangers,Houston Astros,1,0
2025-05-16T02:10:00Z,Los Angeles Dodgers,Athletics,19,2
2025-05-16T18:20:00Z,Chicago Cubs,Chicago White Sox,13,3
2025-05-16T21:10:00Z,Cincinnati Reds,Cleveland Guardians,5,4
2025-05-16T22:45:00Z,Philadelphia Phillies,Pittsburgh Pirates,8,4
2025-05-16T23:05:00Z,Baltimore Orioles,Washington Nationals,3,4
2025-05-16T23:05:00Z,New York Yankees,New York Mets,6,2
2025-05-16T23:07:00Z,Toronto Blue Jays,Detroit Tigers,4,5
2025-05-16T23:10:00Z,Boston Red Sox,Atlanta Braves,2,4
2025-05-16T23:10:00Z,Miami Marlins,Tampa Bay Rays,9,4
2025-05-16T23:40:00Z,Kansas City Royals,St. Louis Cardinals,3,10
2025-05-17T00:05:00Z,Texas Rangers,Houston Astros,3,6
2025-05-17T00:10:00Z,Milwaukee Brewers,Minnesota Twins,0,3
2025-05-17T01:40:00Z,Arizona Diamondbacks,Colorado Rockies,8,0
2025-05-17T01:40:00Z,San Diego Padres,Seattle Mariners,1,5
2025-05-17T02:10:00Z,Los Angeles Dodgers,Los Angeles Angels,2,6
2025-05-17T02:15:00Z,San Francisco Giants,Athletics,9,1
2025-05-17T17:05:00Z,New York Yankees,New York Mets,2,3
2025-05-17T18:20:00Z,Chicago Cubs,Chicago White Sox,7,3
2025-05-17T19:07:00Z,Toronto Blue Jays,Detroit Tigers,2,1
2025-05-17T20:05:00Z,Baltimore Orioles,Washington Nationals,6,10
2025-05-17T20:10:00Z,Miami Marlins,Tampa Bay Rays,0,4
2025-05-17T22:05:00Z,Philadelphia Phillies,Pittsburgh Pirates,5,2
2025-05-17T22:40:00Z,Cincinnati Reds,Cleveland Guardians,4,1
2025-05-17T23:05:00Z,Texas Rangers,Houston Astros,5,1
2025-05-17T23:10:00Z,Kansas City Royals,St. Louis Cardinals,0,1
2025-05-17T23:15:00Z,Boston Red Sox,Atlanta Braves,7,6
2025-05-17T23:15:00Z,Milwaukee Brewers,Minnesota Twins,0,7
2025-05-18T00:10:00Z,Arizona Diamondbacks,Colorado Rockies,12,14
2025-05-18T00:40:00Z,San Diego Padres,Seattle Mariners,1,4
2025-05-18T01:05:00Z,San Francisco Giants,Athletics,1,0
2025-05-18T01:10:00Z,Los Angeles Dodgers,Los Angeles Angels,9,11
2025-05-18T17:05:00Z,Texas Rangers,Houston Astros,3,4
2025-05-18T17:35:00Z,Baltimore Orioles,Washington Nationals,4,10
2025-05-18T17:35:00Z,Philadelphia Phillies,Pittsburgh Pirates,1,0
2025-05-18T17:35:00Z,Boston Red Sox,Atlanta Braves,4,10
2025-05-18T17:37:00Z,Toronto Blue Jays,Detroit Tigers,2,3
2025-05-18T17:40:00Z,Cincinnati Reds,Cleveland Guardians,3,1
2025-05-18T17:40:00Z,Miami Marlins,Tampa Bay Rays,5,1
2025-05-18T18:10:00Z,Kansas City Royals,St. Louis Cardinals,2,1
2025-05-18T18:10:00Z,Milwaukee Brewers,Minnesota Twins,5,2
2025-05-18T18:20:00Z,Chicago Cubs,Chicago White Sox,6,2
2025-05-18T20:05:00Z,San Francisco Giants,Athletics,3,2
2025-05-18T20:10:00Z,Arizona Diamondbacks,Colorado Rockies,1,0
2025-05-18T20:10:00Z,Los Angeles Dodgers,Los Angeles Angels,4,6
2025-05-18T20:10:00Z,San Diego Padres,Seattle Mariners,1,6
2025-05-18T23:10:00Z,New York Yankees,New York Mets,8,2
2025-05-19T22:40:00Z,Pittsburgh Pirates,Cincinnati Reds,1,7
2025-05-19T22:40:00Z,Miami Marlins,Chicago Cubs,8,7
2025-05-19T22:45:00Z,Boston Red Sox,New York Mets,3,1
2025-05-19T23:05:00Z,Tampa Bay Rays,Houston Astros,3,4
2025-05-19T23:40:00Z,Minnesota Twins,Cleveland Guardians,6,5
2025-05-19T23:40:00Z,Chicago White Sox,Seattle Mariners,1,5
2025-05-19T23:40:00Z,Milwaukee Brewers,Baltimore Orioles,5,4
2025-05-19T23:45:00Z,St. Louis Cardinals,Detroit Tigers,11,4
2025-05-20T00:40:00Z,Colorado Rockies,Philadelphia Phillies,3,9
2025-05-20T01:45:00Z,San Francisco Giants,Kansas City Royals,1,3
2025-05-20T02:05:00Z,Athletics,Los Angeles Angels,3,4
2025-05-20T02:10:00Z,Los Angeles Dodgers,Arizona Diamondbacks,5,9
2025-05-20T22:40:00Z,Pittsburgh Pirates,Cincinnati Reds,1,0
2025-05-20T22:40:00Z,Miami Marlins,Chicago Cubs,1,14
2025-05-20T22:45:00Z,Boston Red Sox,New York Mets,2,0
2025-05-20T22:45:00Z,Washington Nationals,Atlanta Braves,5,3
2025-05-20T23:05:00Z,Tampa Bay Rays,Houston Astros,3,2
2025-05-20T23:05:00Z,New York Yankees,Texas Rangers,5,2
2025-05-20T23:07:00Z,Toronto Blue Jays,San Diego Padres,3,0
2025-05-20T23:40:00Z,Chicago White Sox,Seattle Mariners,1,0
2025-05-20T23:40:00Z,Milwaukee Brewers,Baltimore Orioles,5,2
2025-05-20T23:45:00Z,St. Louis Cardinals,Detroit Tigers,4,5
2025-05-21T00:40:00Z,Colorado Rockies,Philadelphia Phillies,4,7
2025-05-21T01:45:00Z,San Francisco Giants,Kansas City Royals,3,2
2025-05-21T02:05:00Z,Athletics,Los Angeles Angels,5,7
2025-05-21T02:10:00Z,Los Angeles Dodgers,Arizona Diamondbacks,4,3
2025-05-21T16:35:00Z,Pittsburgh Pirates,Cincinnati Reds,3,1
2025-05-21T17:10:00Z,Tampa Bay Rays,Houston Astros,8,4
2025-05-21T17:10:00Z,Minnesota Twins,Cleveland Guardians,6,5
2025-05-21T17:10:00Z,Miami Marlins,Chicago Cubs,1,2
2025-05-21T17:10:00Z,Milwaukee Brewers,Baltimore Orioles,4,8
2025-05-21T17:15:00Z,St. Louis Cardinals,Detroit Tigers,1,5
2025-05-21T18:10:00Z,Chicago White Sox,Seattle Mariners,5,6
2025-05-21T19:45:00Z,San Francisco Giants,Kansas City Royals,4,8
2025-05-21T19:55:00Z,Minnesota Twins,Cleveland Guardians,1,5
2025-05-21T22:45:00Z,Boston Red Sox,New York Mets,1,5
2025-05-21T23:05:00Z,New York Yankees,Texas Rangers,4,3
2025-05-21T23:07:00Z,Toronto Blue Jays,San Diego Padres,14,0
2025-05-22T00:40:00Z,Colorado Rockies,Philadelphia Phillies,5,9
2025-05-22T02:05:00Z,Athletics,Los Angeles Angels,5,10
2025-05-22T02:10:00Z,Los Angeles Dodgers,Arizona Diamondbacks,3,1
2025-05-22T16:35:00Z,New York Yankees,Texas Rangers,1,0
2025-05-22T17:07:00Z,Toronto Blue Jays,San Diego Padres,7,6
2025-05-22T19:10:00Z,Colorado Rockies,Philadelphia Phillies,0,2
2025-05-22T19:35:00Z,Athletics,Los Angeles Angels,5,10
